"Title","Year","Rating","Runtime","Critic.Score","Box.Office","Awards","Distribution"
"Guardians of the Galaxy",2014,"PG-13",121,91,333.2,"Won Awards","International"
"Shrek the Third",2007,"PG",93,40,320.7,"Won Awards","Domestic"
"Alice in Wonderland",2010,"PG",108,51,319.3,"Won Awards","Domestic"
"Iron Man",2008,"PG-13",126,94,318.3,"Won Awards","Domestic"
"Harry Potter and the Sorcerer's Stone",2001,"PG",152,80,317.6,"Won Awards","International"
"Indiana Jones and the Kingdom of the Crystal Skull",2008,"PG-13",122,78,317,"Won Awards","Domestic"
"The Lord of the Rings: The Fellowship of the Ring",2001,"PG-13",178,91,313.8,"Won Awards","International"
"Iron Man 2",2010,"PG-13",124,72,312.1,"Won Awards","Domestic"
"Star Wars: Episode II - Attack of the Clones",2002,"PG",142,67,310.3,"Won Awards","Domestic"
"Pirates of the Caribbean: At World's End",2007,"PG-13",169,45,309.4,"Won Awards","Domestic"
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"PG-13",143,79,305.3,"Won Awards","Domestic"
"Skyfall",2012,"PG-13",143,92,304.4,"Won Awards","International"
"The Hobbit: An Unexpected Journey",2012,"PG-13",169,64,303,"Won Awards","International"
"Harry Potter and the Half-Blood Prince",2009,"PG",153,84,301.9,"Won Awards","International"
"The Twilight Saga: Eclipse",2010,"PG-13",124,49,300.5,"Won Awards","Domestic"
"The Twilight Saga: New Moon",2009,"PG-13",130,28,296.6,"Won Awards","Domestic"
"Harry Potter and the Deathly Hallows: Part 1",2010,"PG-13",146,78,295,"Won Awards","International"
"Up",2009,"PG",96,98,293,"Won Awards","Domestic"
"Inception",2010,"PG-13",148,86,292.6,"Won Awards","International"
"The Twilight Saga: Breaking Dawn - Part 2",2012,"PG-13",115,48,292.3,"Won Awards","Domestic"
"Harry Potter and the Order of the Phoenix",2007,"PG-13",138,79,292,"Won Awards","International"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"PG",143,76,291.7,"Won Awards","International"
"Man of Steel",2013,"PG-13",143,56,291,"Won Awards","International"
"Harry Potter and the Goblet of Fire",2005,"PG-13",157,88,290,"Won Awards","International"
"The Matrix Reloaded",2003,"R",138,73,281.5,"Won Awards","International"
"The Twilight Saga: Breaking Dawn - Part 1",2011,"PG-13",117,24,281.3,"Won Awards","Domestic"
"Meet the Fockers",2004,"PG-13",115,38,279.2,"Won Awards","Domestic"
"The Hangover",2009,"R",100,79,277.3,"Won Awards","International"
"Gravity",2013,"PG-13",91,97,274.1,"Won Awards","International"
"Monsters University",2013,"G",104,78,268.5,"Won Awards","Domestic"
"Shrek",2001,"PG",90,88,267,"Won Awards","Domestic"
"The Amazing Spider-Man",2012,"PG-13",136,72,262,"Won Awards","Domestic"
"Harry Potter and the Chamber of Secrets",2002,"PG",161,82,261.8,"Won Awards","International"
"Captain America: The Winter Soldier",2014,"PG-13",136,89,259.7,"Won Awards","Domestic"
"How the Grinch Stole Christmas",2000,"PG",104,53,259,"Won Awards","International"
"The Hobbit: The Desolation of Smaug",2013,"PG-13",161,74,258.4,"Won Awards","International"
"The Lego Movie",2014,"PG",100,96,257.8,"Won Awards","International"
"Star Trek",2009,"PG-13",127,95,257.7,"Won Awards","International"
"I Am Legend",2007,"PG-13",101,70,256.3,"Won Awards","Domestic"
"The Blind Side",2009,"PG-13",129,66,255.5,"Won Awards","Domestic"
"The Hangover Part II",2011,"R",102,34,254.5,"Won Awards","Domestic"
"Despicable Me",2010,"PG",95,81,251.5,"Won Awards","Domestic"
"Night at the Museum",2006,"PG",108,44,250.8,"Won Awards","International"
"Harry Potter and the Prisoner of Azkaban",2004,"PG",142,91,249.4,"Won Awards","International"
"Transformers: Age of Extinction",2014,"PG-13",165,18,245.4,"Won Awards","International"
"Cars",2006,"G",117,74,244.1,"Won Awards","Domestic"
"Bruce Almighty",2003,"PG-13",101,48,242.6,"Won Awards","Domestic"
"Maleficent",2014,"PG",97,49,241.4,"Won Awards","International"
"My Big Fat Greek Wedding",2002,"PG",95,76,241.3,"Won Awards","International"
"Pirates of the Caribbean: On Stranger Tides",2011,"PG-13",136,33,241.1,"Won Awards","International"
"Fast & Furious 6",2013,"PG-13",130,69,238.7,"Won Awards","Domestic"
"Shrek Forever After",2010,"PG",93,58,238.3,"Won Awards","Domestic"
"Brave",2012,"PG",93,78,237.3,"Won Awards","Domestic"
"Oz the Great and Powerful",2013,"PG",130,59,234.9,"Won Awards","Domestic"
"X-Men: The Last Stand",2006,"PG-13",104,58,234.2,"Won Awards","International"
"War of the Worlds",2005,"PG-13",116,74,234.1,"Won Awards","Domestic"
"X-Men: Days of Future Past",2014,"PG-13",132,91,233.9,"Won Awards","International"
"Star Trek Into Darkness",2013,"PG-13",132,87,228.8,"Won Awards","Domestic"
"Signs",2002,"PG-13",106,74,227.9,"Won Awards","Domestic"
"Hancock",2008,"PG-13",92,41,227.9,"Won Awards","Domestic"
"The Bourne Ultimatum",2007,"PG-13",115,93,227.4,"Won Awards","International"
"Rush Hour 2",2001,"PG-13",90,52,226,"Won Awards","International"
"WALL·E",2008,"G",98,96,223.7,"Won Awards","Domestic"
